"","loc","date","SIF_A_ifld.x","SIF_B_ifld.x","SIF_A_sfm.x","SIF_B_sfm.x","doy.dayfract","datetime","EPAR.x","Incoming at 750nm [W m-2nm-1sr-1].x","Reflected 760 [W m-2nm-1sr-1].x","Reflected 687 [W m-2nm-1sr-1].x","lai.suns","magvar","geoidheigh","spad","SZA","lu","SIF_A_ifld.sd.x","SIF_B_ifld.sd.x","freq","SIF_A_ifld.y","SIF_B_ifld.y","SIF_A_sfm.y","SIF_B_sfm.y","SIF_A_ifld_rollsd5","SIF_B_ifld_rollsd5","SIF_A_sfm_rollsd5","SIF_B_sfm_rollsd5","SIF_A_ifld_rollsd11","SIF_B_ifld_rollsd11","SIF_A_sfm_rollsd11","SIF_B_sfm_rollsd11","SIF_A_ifld_rollsd31","SIF_B_ifld_rollsd31","SIF_A_sfm_rollsd31","SIF_B_sfm_rollsd31","SIF_A_ifld_rollsd61","SIF_B_ifld_rollsd61","SIF_A_sfm_rollsd61","SIF_B_sfm_rollsd61","SIF_A_ifld.sd.y","SIF_B_ifld.sd.y","EPAR.y","Incoming at 750nm [W m-2nm-1sr-1].y","Reflected 760 [W m-2nm-1sr-1].y","Reflected 687 [W m-2nm-1sr-1].y","SIF680..iFLD","SIF680_uncer","SIF760..iFLD","SIF760_uncer","Simple.Ratio","SNR.x","SNR.y","up_cor_SIF_A_ifld.y","down_cor_SIF_A_ifld.x","rSIF_A_ifld","nrSIF_A_ifld","SIF_A_yield.x","SIF_A_yield.y","SIF_A_yield.x2","SIF_A_yield.x3","SIF_A_yield.y2","SIF_A_yield.y3"
"11","SB0.6",2018-06-26 12:35:00,2.0429219794,0.467160451,2.3918756838,1.129280601,177.52627314,2018-06-26 12:37:00,0.4088955512,0.3286432044,0.1514529366,0.0096591884,2.6,320698.685218028,5637650.95351413,47.1,26.032662924,"SB",0.198815296333595,0.212293534392642,5,1.89087278921899,1.22395371221669,2.08822307352031,0.985515444027459,0.134190014326429,0.0982413999141919,0.109534522652082,0.0875601721375969,0.11055831930911,0.101421517928493,0.0920950058857324,0.0755954829971865,0.107949846956247,0.106604624852935,0.0754349973096053,0.0755265830692437,0.134513072396504,0.101057432868605,0.0782745144773263,0.0656332031838234,0.134101444362089,0.0178940424492876,0.325777997192762,0.29379872029184,0.0918044979144189,0.00725709112986124,0.253285554427368,0,1.09406828932246,0,15.2849801433904,10.2754768726253,14.1003163553811,2.2491909568729,1.61895108479673,-0.27192170442226,1.03988377180439,6.21623070870958,6.43594630820965,4.92616631995306,5.51040890575892,7.65555055732955,6.84386875115591
"12","SB0.6",2018-06-26 12:40:00,2.0556612798,0.4246619144,2.3956154832,1.1451688142,177.52974538,2018-06-26 12:42:00,0.4209274286,0.3297386852,0.1543390186,0.0095866746,2.6,320698.685218028,5637650.95351413,47.1,26.6093033,"SB",0.139849878853549,0.0794636121258559,5,1.73405125363328,1.19812688105914,1.97082418064867,0.938052010348791,0.0908048774985549,0.108858039975091,0.0557319145342736,0.0530036212742143,0.117236991067824,0.105698378592967,0.0798658432807471,0.083097917080733,0.118875521872962,0.105115136220624,0.0782188033189836,0.0766159441104946,0.134192908918195,0.0994658641744902,0.0800582398759998,0.0665324311601498,0.0743861205825168,0.130593506822518,0.324929051676782,0.294692892587328,0.0923896495873571,0.0071739550466335,0.253285554427368,0,1.09406828932246,0,15.2849801433904,14.6990565644515,23.3114892946956,2.06010495855579,1.62519907467791,-0.108852178955367,1.14806575981628,6.23421324844902,5.88426561091702,4.92874857462405,5.51489063889217,6.99068423560744,6.24768961308331
"13","SB0.6",2018-06-26 12:45:00,2.0220967774,0.4142813298,2.4864384362,1.1558536812,177.53321758,2018-06-26 12:47:00,0.4173755252,0.3259644228,0.1543478214,0.0096036358,2.6,320698.685218028,5637650.95351413,47.1,27.21120797,"SB",0.0830364155705889,0.102266148248335,5,1.80275815704513,1.08895700468031,1.97814972110433,0.858490484249982,0.0847921732616828,0.10685346268324,0.0159085012097277,0.0481496707083796,0.0921431906352662,0.108147961306139,0.0599685308434766,0.0844467462803299,0.13726973916688,0.099771357454619,0.0818832008162173,0.0720430206701416,0.138167961229707,0.0973554860335176,0.085178610494826,0.0673077853704522,0.101448599422411,0.0978630024151887,0.323867940408631,0.29262190626798,0.0915939333085221,0.00721453192660379,0.253285554427368,0,1.09406828932246,0,15.2849801433904,24.3519275670206,17.77016309056,2.14294762027559,1.60873736447583,-0.194020792569297,1.0869445623965,6.20342784660486,6.16070813028666,4.93531579507035,5.49766551996474,7.32326450745318,6.57417641430896
"14","SB0.6",2018-06-26 12:50:00,1.9591874638,0.4261382626,2.4486743674,1.18158672,177.53669214,2018-06-26 12:52:00,0.4116421674,0.3240595212,0.1559037848,0.009914349,2.6,320698.685218028,5637650.95351413,47.1,27.837074066,"SB",0.0849936239924977,0.144862382990896,5,1.82008115033481,1.21726357921062,2.01488732914844,0.974435432326189,0.107489487272227,0.0975544447609029,0.0838454748919808,0.116547052699333,0.0928555193543182,0.0975681285421274,0.0613712560995853,0.0888877945298129,0.144220066329278,0.0929436813802009,0.0858347659934484,0.0706382247427459,0.143150878745506,0.103952042577279,0.0918052877220684,0.069186745552871,0.118030543060391,0.0925570553212044,0.321767003196634,0.293169470800716,0.0913252817247423,0.00726820374995591,0.253285554427368,0,1.09406828932246,0,15.2849801433904,23.050993377726,15.4204251132147,2.1638346462047,1.57788349162071,-0.242197658714105,1.04483074390308,6.0457642365979,6.20829019257611,4.86911628387825,5.38215485845484,7.38083211834693,6.67727532951962
"15","SB0.6",2018-06-26 12:55:00,1.985275806,0.3856147902,2.451043083,1.1151926046,177.54016202,2018-06-26 12:57:00,0.3913546362,0.3207506872,0.1535275048,0.0096558138,2.6,320698.685218028,5637650.95351413,47.1,28.483962436,"SB",0.102640049757964,0.0763183842887615,5,1.80859674035553,1.11427622061947,1.97507868520726,0.918564738852853,0.0815094093484188,0.072066949146103,0.0605627945129952,0.0554752938481319,0.135259145180565,0.0932485244144964,0.0823366733061804,0.0832260075357012,0.142114937414065,0.0893685512344999,0.0861327457283827,0.0680949124816623,0.152971817925181,0.106556625772668,0.0990889455383431,0.0691340574375074,0.0205055505112749,0.0507180531240631,0.319687012406599,0.291137322727639,0.0905185652261289,0.00713704058504204,0.253285554427368,0,1.09406828932246,0,15.2849801433904,19.3421165586092,88.2003504056661,2.14998743371628,1.5906785190527,-0.21791822130283,1.06509063782161,6.18946703849806,6.21217755048013,4.95923651150544,5.46367090330356,7.38478809097109,6.70298621176665
"16","SB0.6",2018-06-26 13:00:00,1.953841826,0.46312515075,2.25867551725,1.163461743,177.54328705,2018-06-26 13:01:30,0.39035945625,0.31963255725,0.15093701575,0.0095992285,2.6,320698.685218028,5637650.95351413,47.1,29.08368267,"SB",0.0839980616448837,0.050543540070128,4,1.58835582517783,1.11726770579715,1.8945333551288,0.883342520246775,0.0963645679305307,0.0910854189825262,0.0572852790430753,0.0385293555930957,0.131045856826302,0.086348150827327,0.0696646815412768,0.0428275304570919,0.128447337717513,0.0904233056099721,0.0771320649187085,0.062696476064706,0.157239201369264,0.105680223780276,0.101613301375763,0.0685480970603829,0.0934134337122401,0.0881802898067218,0.317214143443077,0.28552955065468,0.0891601737008844,0.00701854079981523,0.253285554427368,0,1.09406828932246,0,15.2849801433904,23.2605584907447,17.0035054066287,1.88443415264991,1.5752617235617,-0.0130941016161252,1.19283043719611,6.11277475239109,5.56284217005191,4.92835190856234,5.5169831632132,6.59978677628695,5.89562643074561
"17","SB0.7",2018-06-26 12:25:00,1.967271,0.428922673,2.429534646,1.250067074,177.5207176,2018-06-26 12:29:00,0.419831124,0.332087077,0.154890274,0.009275016,3.3,320670.308714992,5637641.13580555,47.4,25.16593012,"SB",NA,NA,1,1.82823715159497,1.19092079739798,1.94541339919512,0.973825635408304,0.0906174595816355,0.142070765677284,0.0382314009798344,0.0564346308102644,0.1085343539482,0.122027947813331,0.0668623521916171,0.0648057189460501,0.124565553854629,0.108753747138809,0.0769172649423143,0.0697680727212123,0.123809389252423,0.102640214379802,0.0750884402077015,0.0694128953837697,0.090646431881975,0.15014405795896,0.328452131445649,0.295210998324449,0.0912028725674431,0.00700120220085242,0.253301285711269,0,1.142001621225,0,16.9888674300649,NA,20.1688815945387,2.17366866316412,1.58184806195,-0.24638908964497,0.89855241188415,5.92396132295145,6.19298454993762,4.76335326336713,5.35836425786375,7.36310190169531,6.54547801980298
"18","SB0.7",2018-06-26 12:30:00,2.01133424175,0.4894941335,2.4843906465,1.18105531475,177.5224537,2018-06-26 12:31:30,0.42036419,0.33064229375,0.15428407525,0.009303812,3.3,320670.308714992,5637641.13580555,47.4,25.4292652675,"SB",0.148314532973522,0.0778174141159484,4,1.88643860454102,1.09744305583302,1.92351817465397,0.897044837840347,0.0526467050448085,0.0992107014869817,0.0584477071475881,0.0570105911398214,0.10423570938458,0.111161872360324,0.0918726332788963,0.0754526082908039,0.123683754954095,0.109968524748562,0.0757513846606729,0.0730644799153443,0.128985152273841,0.101306397712601,0.0765580376076717,0.0666651173383365,0.026960349602747,0.0916860852903268,0.327810971110365,0.295344467609846,0.0911608437431863,0.00709854641620473,0.253301285711269,0,1.142001621225,0,16.9888674300649,13.5612754962393,69.9708509843958,2.24384448303929,1.60345887886629,-0.282979725674735,0.872147030119944,6.08311241413894,6.38724882780954,4.84952744756444,5.42911432146573,7.59738112312786,6.78632021811424
"19","SB0.8",2018-06-26 12:10:00,2.038094754,0.3967393935,2.4546399095,1.1047613675,177.50998265,2018-06-26 12:13:30,0.429557299,0.336782627,0.1522087635,0.008927838,3.1,320645.763659567,5637630.07285009,44.8,23.71885723,"SB",0.0041888836011864,0.129598910572212,2,1.66319791458445,1.04088493269494,1.94452366271067,0.868950986785062,0.113606174906499,0.0768981023911466,0.0623534605610123,0.0497898760364285,0.121709364430829,0.0889966691405461,0.0576742235326705,0.058356836877629,0.111029499532073,0.110168153888096,0.0644777384901649,0.062807488659367,0.110718168096262,0.108884808691015,0.0722441617191337,0.0705630749196894,0.102499584001242,0.0522295317330073,0.329200274509652,0.294002434709858,0.0902052054334544,0.00676284924923554,0.157934783237223,0,1.21013569209911,0,16.1521012189828,486.548433435286,16.2263869730856,1.97467425353105,1.6165835720993,-0.0466143424851477,1.10260518829635,6.05166237984123,5.6570889156949,4.80008005905631,5.49853804338273,6.71652347192227,5.86334951752441
"20","SB0.8",2018-06-26 12:15:00,2.122859716,0.5041199924,2.577838596,1.1326674046,177.51237268,2018-06-26 12:17:00,0.4203429544,0.3285071332,0.1539630552,0.008623435,3.1,320645.763659567,5637630.07285009,44.8,24.014433486,"SB",0.172358181588133,0.119860890301929,5,1.75791816576011,1.07719718875403,1.94740366421791,0.932531001181157,0.128937867104492,0.0862049805721081,0.0666454617956656,0.0541647625518479,0.143106034103814,0.107450236976396,0.0731767360104406,0.0663499991897844,0.121420795778743,0.111668977570973,0.0761601717008731,0.0671104594662232,0.104087602523292,0.104397656455381,0.072297766860849,0.0719352041292978,0.147447321361559,0.0690591636465419,0.330086892861861,0.295609908298546,0.0909587212077904,0.0068061307657586,0.157934783237223,0,1.21013569209911,0,16.1521012189828,12.3165590193611,11.9223472459664,2.08888224918359,1.6581565477122,-0.0997616180479077,1.07076996924812,6.46214191856702,5.94674980915973,5.04755111878405,5.60927256212796,7.06634720468828,6.35871199762305
